DEBUG 2012-07-05 09:33:13,129 103284ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:33:13,129 103284ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:33:13,129 103284ms MainViewModel          SetLesson          - || == Current Item : 3/93
DEBUG 2012-07-05 09:33:13,207 103362ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:33:13,207 103362ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:33:28,255 118410ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:33:28,255 118410ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:33:28,255 118410ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :15
DEBUG 2012-07-05 09:33:28,255 118410ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:33:28,255 118410ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:33:38,208 128363ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:33:38,208 128363ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:33:38,208 128363ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:33:38,208 128363ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:33:38,208 128363ms MainViewModel          SetLesson          - || == Current Item : 4/93
DEBUG 2012-07-05 09:33:38,286 128441ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:33:38,286 128441ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:33:53,333 143488ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:33:53,333 143488ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:33:53,333 143488ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:33:53,333 143488ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:33:53,333 143488ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:34:03,286 153441ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:34:03,286 153441ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:34:03,286 153441ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:34:03,286 153441ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:34:03,286 153441ms MainViewModel          SetLesson          - || == Current Item : 5/93
DEBUG 2012-07-05 09:34:03,427 153582ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:34:03,427 153582ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
This is HeaderINFO  2012-07-05 09:43:07,073 22221ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-05 09:43:13,543 28691ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-05 09:43:13,699 28847ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-05 09:43:38,718 53866ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:43:38,718 53866ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:43:38,718 53866ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:43:38,718 53866ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:43:38,718 53866ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-05 09:43:39,046 54195ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:43:39,046 54195ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:43:47,813 62961ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:43:47,829 62977ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:43:48,095 63243ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:43:48,735 63883ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:43:49,017 64165ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:43:49,173 64321ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:43:50,876 66024ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:43:51,189 66337ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:43:51,329 66478ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:43:52,923 68072ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:43:53,080 68228ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:43:55,033 70181ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:43:55,314 70463ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:43:55,455 70603ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
This is HeaderINFO  2012-07-05 09:45:13,935 29769ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-05 09:45:16,169 32004ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-05 09:45:16,310 32145ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-05 09:45:41,327 57161ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:45:41,327 57161ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:45:41,327 57161ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:45:41,327 57161ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:45:41,327 57161ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-05 09:45:41,624 57458ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:45:41,624 57458ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:45:44,749 60583ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:45:46,811 62646ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:45:47,061 62896ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:45:47,420 63255ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:45:47,686 63521ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:45:47,874 63708ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:45:48,999 64833ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:45:49,202 65036ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:46:05,217 81052ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:46:05,217 81052ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:46:05,217 81052ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :23
DEBUG 2012-07-05 09:46:05,217 81052ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:46:05,217 81052ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:46:14,218 90052ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:46:14,218 90052ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:46:14,218 90052ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:46:14,218 90052ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:46:14,218 90052ms MainViewModel          SetLesson          - || == Current Item : 2/93
DEBUG 2012-07-05 09:46:14,296 90130ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:46:14,296 90130ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:46:29,296 105130ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:46:29,296 105130ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:46:29,296 105130ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:46:29,296 105130ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:46:29,296 105130ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:46:39,218 115052ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:46:39,218 115052ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:46:39,218 115052ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:46:39,218 115052ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:46:39,218 115052ms MainViewModel          SetLesson          - || == Current Item : 3/93
DEBUG 2012-07-05 09:46:39,296 115130ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:46:39,296 115130ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:46:54,296 130130ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:46:54,296 130130ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:46:54,296 130130ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:46:54,296 130130ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:46:54,296 130130ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:47:04,218 140052ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:47:04,218 140052ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:47:04,218 140052ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:47:04,218 140052ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:47:04,218 140052ms MainViewModel          SetLesson          - || == Current Item : 4/93
DEBUG 2012-07-05 09:47:04,327 140162ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:47:04,327 140162ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:47:19,327 155162ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:47:19,327 155162ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:47:19,327 155162ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:47:19,327 155162ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:47:19,327 155162ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:47:29,218 165053ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:47:29,218 165053ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:47:29,218 165053ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:47:29,218 165053ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:47:29,218 165053ms MainViewModel          SetLesson          - || == Current Item : 5/93
DEBUG 2012-07-05 09:47:29,296 165131ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:47:29,296 165131ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:47:36,671 172506ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:47:36,718 172553ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:47:36,796 172631ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:47:36,921 172756ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:47:37,202 173037ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:47:37,734 173568ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:47:38,015 173850ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:47:38,171 174006ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-05 09:47:39,609 175443ms MainViewModel          ChangeSideExecute  - ||{*} === Change Side Command Executed === 
INFO  2012-07-05 09:47:39,874 175709ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-05 09:47:55,874 191709ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:47:55,874 191709ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:47:55,874 191709ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :26
DEBUG 2012-07-05 09:47:55,874 191709ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:47:55,874 191709ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:48:04,874 200709ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:48:04,874 200709ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:48:04,874 200709ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:48:04,874 200709ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:48:04,874 200709ms MainViewModel          SetLesson          - || == Current Item : 6/93
DEBUG 2012-07-05 09:48:04,968 200803ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:48:04,968 200803ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:48:19,968 215803ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:48:19,968 215803ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:48:19,968 215803ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:48:19,968 215803ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:48:19,968 215803ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:48:29,875 225709ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:48:29,875 225709ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:48:29,875 225709ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:48:29,875 225709ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:48:29,875 225709ms MainViewModel          SetLesson          - || == Current Item : 7/93
DEBUG 2012-07-05 09:48:29,968 225803ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:48:29,968 225803ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:48:44,969 240803ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:48:44,969 240803ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:48:44,969 240803ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:48:44,969 240803ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:48:44,969 240803ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:48:54,890 250725ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:48:54,890 250725ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:48:54,890 250725ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:48:54,890 250725ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:48:54,890 250725ms MainViewModel          SetLesson          - || == Current Item : 8/93
DEBUG 2012-07-05 09:48:54,984 250819ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:48:54,984 250819ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:49:09,984 265819ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:49:09,984 265819ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:49:09,984 265819ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :15
DEBUG 2012-07-05 09:49:09,984 265819ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:49:09,984 265819ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:49:19,891 275725ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:49:19,891 275725ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:49:19,891 275725ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:49:19,891 275725ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:49:19,891 275725ms MainViewModel          SetLesson          - || == Current Item : 9/93
DEBUG 2012-07-05 09:49:19,969 275803ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:49:19,969 275803ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:49:34,969 290803ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:49:34,969 290803ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:49:34,969 290803ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:49:34,969 290803ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:49:34,969 290803ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:49:44,891 300725ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:49:44,891 300725ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:49:44,891 300725ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:49:44,891 300725ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:49:44,891 300725ms MainViewModel          SetLesson          - || == Current Item : 10/93
DEBUG 2012-07-05 09:49:44,985 300819ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:49:44,985 300819ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:49:59,985 315819ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:49:59,985 315819ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:49:59,985 315819ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:49:59,985 315819ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:49:59,985 315819ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:50:09,891 325725ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:50:09,891 325725ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:50:09,891 325725ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:50:09,891 325725ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:50:09,891 325725ms MainViewModel          SetLesson          - || == Current Item : 11/93
DEBUG 2012-07-05 09:50:09,969 325804ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:50:09,969 325804ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:50:24,969 340804ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:50:24,969 340804ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:50:24,969 340804ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:50:24,969 340804ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:50:24,969 340804ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:50:34,891 350725ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:50:34,891 350725ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:50:34,891 350725ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:50:34,891 350725ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:50:34,891 350725ms MainViewModel          SetLesson          - || == Current Item : 12/93
DEBUG 2012-07-05 09:50:34,984 350819ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:50:34,984 350819ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:50:49,984 365818ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:50:49,984 365818ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:50:49,984 365818ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :15
DEBUG 2012-07-05 09:50:49,984 365818ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
